municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new
Higueruela,1133,21,185.3486319505737,38.9618433,-1.4422609,6000,Gimnasio Municipal de Higueruela; Pabellón Polideportivo Municipal de Higueruela.,2.0,17.6522506619594
Hoya-Gonzalo,582,28,481.0996563573884,38.9584238,-1.5565831,4000,Gimnasio Municipal; Polideportivo Público Municipal de Hoya-Gonzalo,2.0,34.36426116838488
Jorquera,356,34,955.0561797752808,39.17503019999999,-1.5214676,4000,,0.0,0.0
Letur,911,6,65.86169045005488,38.3656079,-2.1020248,4000,Almaventura; Fisio Pilates Letur; Reserva,2.0,21.953896816684964
Lezuza,1281,42,327.8688524590164,38.9496492,-2.3554527,6000,,0.0,0.0
Liétor,1052,43,408.745247148289,38.54165450000001,-1.9532994,6000,Club Pescadores deportivos de Liétor; Pabellón Polideportivo Municipal de Liétor,2.0,19.011406844106464
Madrigueras,4670,5,10.706638115631693,39.23668079999999,-1.8001488,6000,Club Atletismo 27 de Agosto; GB Performance Madrigueras; MKB - Monkey Madrigueras; Pabellón Polideportivo Municipal de Madrigueras.,4.0,8.565310492505352
Mahora,1465,51,348.12286689419795,39.2131243,-1.7259018,6000,,0.0,0.0
Masegoso,117,34,2905.9829059829062,38.7182149,-2.3163081,4000,,0.0,0.0
Minaya,1381,48,347.57422157856627,39.2710162,-2.3209341,6000,Polideportivo Municipal Agustín Jiménez “Agus”,1.0,7.24112961622013
Molinicos,754,26,344.82758620689657,38.4663699,-2.2405913,4000,Polideportivo Municipal de Molinicos,1.0,13.26259946949602
Montalvos,74,43,5810.81081081081,39.1657264,-2.0276251,4000,,0.0,0.0
Montealegre del Castillo,2051,31,151.14578254509993,38.7888493,-1.3270397,6000,Ecuavolley; Gimnasio Municipal de Montealegre; Polideportivo; Sx morillo's park,4.0,19.502681618722573
Motilleja,673,36,534.9182763744427,39.1803118,-1.7910132,4000,,0.0,0.0
Munera,3351,21,62.66786034019696,39.0424927,-2.4783117,6000,Atomic Sports; Gimnasio Municipal de Munera; Polideportivo,3.0,8.952551477170994
Navas de Jorquera,521,18,345.489443378119,39.2800859,-1.7192136,4000,,0.0,0.0
Nerpio,1136,10,88.02816901408451,38.1477676,-2.2987502,6000,Explora Segura; Polideportivo Municipal de Nerpio,2.0,17.6056338028169
Ontur,1895,12,63.3245382585752,38.6159034,-1.4978716,6000,Activ Dance & Fitness,1.0,5.277044854881266
Ossa de Montiel,2233,10,44.782803403493055,38.9645905,-2.7468737,6000,Crossbodyossa; JV Pro Sport Center; Pabellón polideportivo Municipal Oscar Sevilla; SERVICIOS CINEGÉTICOS H. MORA.,4.0,17.913121361397224
Paterna del Madera,328,34,1036.5853658536585,38.5973796,-2.3458767,4000,,0.0,0.0
Peñas de San Pedro,1488,11,73.9247311827957,38.7256513,-2.0010004,6000,Gimnasio Municipal; PABELLÓN POLIDEPORTIVO MUNICIPAL de Peñas de San Pedro.,2.0,13.440860215053764
Peñascosa,329,40,1215.80547112462,38.6716596,-2.4104201,4000,,0.0,0.0
Povedilla,374,49,1310.1604278074865,38.7007435,-2.6034236,4000,,0.0,0.0
Pozo Cañada,2704,41,151.62721893491124,38.8029833,-1.7322065,6000,CLINICA DE FISIOTERAPIA Y PILATES,1.0,3.698224852071006
Pozo-Lorente,398,53,1331.6582914572864,39.076351,-1.5069455,4000,,0.0,0.0
Pozohondo,1544,42,272.020725388601,38.7199503,-1.9111451,6000,Pabellón Polideportivo Municipal de Pozohondo,1.0,6.476683937823834
Pozuelo,455,43,945.054945054945,38.8089093,-2.1014619,4000,,0.0,0.0
Pétrola,660,55,833.3333333333333,38.8272179,-1.5559775,4000,Instalaciones deportivas municipales,1.0,15.151515151515152
"Recueja, La",215,57,2651.162790697674,39.1607676,-1.4676394,4000,,0.0,0.0
Riópar,1344,13,96.72619047619048,38.4982409,-2.4171658,6000,CHCB (Club Hípico El Caballo de Bronce); Centro Excursionista de Albacete; Mundo aventura Riópar; Polideportivo,3.0,22.32142857142857
Robledo,382,45,1178.0104712041884,38.774234,-2.4406387,4000,,0.0,0.0
