municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2,growth_5y,growth_10y,market_type,fitness_population,fitness_ratio
Casas de Juan Núñez,1409,22,156.13910574875797,39.100201,-1.5578697,6000,Pabellón Polideportivo de Casas de Juan Núñez,1.0,7.097232079488999,24730,12365.0,28.63440821198604,12365.0,22.0,1075.2173913043478,0.06259426847662142,0.019536903039073805,Mercado emergente,34180.0,24.2583392476934
Casas de Lázaro,298,15,503.35570469798654,38.7710402,-2.2402728,4000,,0.0,0.0,10918,10918.0,41.222370861931104,10918.0,8.0,1213.111111111111,-0.14367816091954022,-0.26054590570719605,Oportunidad latente,9364.0,31.42281879194631
Casas de Ves,519,32,616.5703275529866,39.2578708,-1.3330645,4000,Complejo Deportivo Valeriano Cantero,1.0,19.26782273603083,11528,5764.0,54.08955607619601,5764.0,10.0,1048.0,-0.07815275310834814,-0.22072072072072071,Oportunidad latente,15884.0,30.60500963391137
Casas-Ibáñez,4616,17,36.82842287694975,39.286714,-1.4712661,6000,Body Avalon; Pabellón Polideportivo Municipal de Casas-Ibáñez.,2.0,4.332755632582322,22616,7538.666666666667,46.70611612137303,7538.666666666667,19.0,1130.8,0.01584507042253521,-0.009016745384285102,Mercado emergente,121546.0,26.33145580589255
Caudete,10439,15,14.369192451384231,38.7046615,-0.9870381,10000,Ciudad Deportiva Atleta Antonio Amorós; In-Gym Fitness; Logan Training Center; NURIA FISIOYOGA; Pabellón de Caudete -Baloncesto; Polideportivo Público Municipal de Caudete; Tierra de Yoga; UP Training Center,8.0,7.6635693074049245,35054,3894.8888888888887,82.18898255245931,3894.8888888888887,28.0,1208.7586206896551,0.04337831084457771,0.02715733543245105,Mercado emergente,266084.0,25.489414694894148
Cenizate,1163,27,232.1582115219261,39.3023107,-1.6627091,6000,Gimnasio de Cenizate; Polideportivo Municipal,2.0,17.196904557179707,31679,10559.666666666666,38.2388506147862,10559.666666666666,30.0,1021.9032258064516,-0.025963149078726967,-0.009369676320272573,Mercado débil,31590.0,27.162510748065348
Chinchilla de Monte-Aragón,4614,23,49.84828781967924,38.9195312,-1.7252937,6000,Caballeros de los Llanos; MKB - Monkey Chinchilla; Pabellón Polideportivo Municipal de Chinchilla de Monte-Aragón.; Pabellón San Miguel; Skate Park Chinchilla,5.0,10.83658430862592,188775,31462.5,14.328993258403454,18033.03801570075,92.0,2029.8387096774195,0.09726516052318668,0.10674022547373471,Mercado emergente,106262.0,23.030342436064153
Corral-Rubio,303,27,891.089108910891,38.8343358,-1.4597825,4000,,0.0,0.0,19592,19592.0,38.94611687109649,19592.0,20.0,932.952380952381,-0.02572347266881029,-0.15363128491620112,Mercado débil,8806.0,29.062706270627064
Cotillas,123,41,3333.333333333333,38.4310256,-2.5058695,4000,,0.0,0.0,7191,7191.0,84.0407137456204,7191.0,8.0,799.0,0.0423728813559322,-0.1276595744680851,Mercado competitivo,3366.0,27.365853658536587
Elche de la Sierra,3603,21,58.28476269775187,38.4500743,-2.0481401,6000,Gimnasio Municipal Elche de la Sierra; Invictus Sport Center,2.0,5.550929780738274,10506,3502.0,62.68418557291034,3502.0,12.0,808.1538461538462,0.023579545454545454,-0.04201010369582558,Mercado competitivo,95732.0,26.57008048848182
Fuensanta,282,43,1524.822695035461,39.2451555,-2.0690225,4000,Campó de tiro virgen de los remedios,1.0,35.46099290780142,31965,15982.5,33.19745362665081,15982.5,35.0,887.9166666666666,-0.030927835051546393,-0.13761467889908258,Mercado débil,7848.0,27.829787234042552
Fuente-Álamo,2422,29,119.73575557390588,38.6927241,-1.4325968,6000,Gimnasio; Pabellón Polideportivo Municipal,2.0,8.257638315441783,8925,2975.0,49.96481882601061,2975.0,10.0,811.3636363636364,-0.021018593371059015,-0.0652257815515245,Mercado débil,67296.0,27.785301403798513
Fuentealbilla,1804,9,49.88913525498891,39.2675127,-1.5511323,6000,Peña Barcelonista 'Andrés Iniesta'; Polideportivo Municipal; Rayo Fuentealbilla.,3.0,16.62971175166297,26800,6700.0,40.40814654955558,6700.0,22.0,1165.2173913043478,-0.01474604041507373,-0.05102577590741715,Mercado emergente,49476.0,27.425720620842572
Férez,604,47,778.1456953642383,38.3555477,-2.0084208,4000,Gimnasio Transforma-T,1.0,16.556291390728475,9144,4572.0,72.19324641441497,4572.0,10.0,831.2727272727273,-0.0397456279809221,-0.14326241134751774,Mercado débil,16766.0,27.758278145695364
"Gineta, La",2656,22,82.83132530120483,39.1132781,-1.9961056,6000,Canódromo de la Gineta; Club pelota a mano La Gineta,2.0,7.530120481927711,208803,69601.0,17.677931619518215,49216.0687460035,115.0,1800.0258620689656,0.0423861852433281,0.04897314375987362,Mercado emergente,66012.0,24.853915662650603
Golosalvo,79,48,6075.949367088608,39.2394219,-1.635698,4000,,0.0,0.0,32267,32267.0,33.42670860780082,32267.0,30.0,1040.8709677419354,-0.19387755102040816,-0.30701754385964913,Mercado débil,2594.0,32.835443037974684
Hellín,30836,25,8.107406926968478,38.5081949,-1.6983239,18000,"Club Tenis Hellin; Complejo Deportivo ""LOS DONCELES"" Agramón; Complejo Polideportivo Municipal JOSÉ JOAQUÍN MORENO VERDÚ “JOSICO” de Isso.; Complejo Polideportivo Municipal “Santa Ana” de Hellín; Cuida'T Body & motion; Esperanza Rubio Fitness; GAIA Deporte y Aventura; La Caléndula Pilates Y Yoga",15.0,4.864444156181087,42433,2652.0625,55.85542427700134,2652.0625,24.0,1697.32,0.021059602649006623,0.007975941422594142,Mercado emergente,146379.44,4.747030743287067
"Herrera, La",308,22,714.2857142857142,38.9622956,-2.1263536,4000,Complejo Deportivo La Herrera,1.0,32.46753246753247,201464,100732.0,23.28419789468438,93818.55289309387,102.0,1955.961165048544,-0.043478260869565216,-0.11239193083573487,Oportunidad latente,9082.0,29.48701298701299
Higueruela,1133,21,185.3486319505737,38.9618433,-1.4422609,6000,Gimnasio Municipal de Higueruela; Pabellón Polideportivo Municipal de Higueruela.,2.0,17.6522506619594,16126,5375.333333333333,36.30579385315663,5375.333333333333,18.0,848.7368421052631,-0.001762114537444934,-0.09287429943955164,Mercado competitivo,31092.0,27.44218887908208
Hoya-Gonzalo,582,28,481.0996563573884,38.9584238,-1.5565831,4000,Gimnasio Municipal; Polideportivo Público Municipal de Hoya-Gonzalo,2.0,34.36426116838488,15988,5329.333333333333,26.546473551237376,5329.333333333333,15.0,999.25,-0.0761904761904762,-0.17563739376770537,Mercado débil,18290.0,31.42611683848797
Jorquera,356,34,955.0561797752808,39.17503019999999,-1.5214676,4000,,0.0,0.0,29553,29553.0,35.46896734928929,29553.0,27.0,1055.4642857142858,0.04093567251461988,-0.11,Mercado emergente,9448.0,26.53932584269663
Letur,911,6,65.86169045005488,38.3656079,-2.1020248,4000,Almaventura; Fisio Pilates Letur; Reserva,2.0,21.953896816684964,11615,3871.6666666666665,73.00200720839116,3871.6666666666665,13.0,829.6428571428571,0.021300448430493273,-0.07700101317122594,Mercado competitivo,25388.0,27.86827661909989
Lezuza,1281,42,327.8688524590164,38.9496492,-2.3554527,6000,,0.0,0.0,12870,12870.0,43.10446709815827,12870.0,11.0,1072.5,-0.038288288288288286,-0.13621038435603505,Oportunidad latente,37752.0,29.470725995316158
Liétor,1052,43,408.745247148289,38.54165450000001,-1.9532994,6000,Club Pescadores deportivos de Liétor; Pabellón Polideportivo Municipal de Liétor,2.0,19.011406844106464,51626,17208.666666666668,50.98611814887501,17208.666666666668,34.0,1475.0285714285717,-0.08521739130434783,-0.2036336109008327,Oportunidad latente,32320.0,30.722433460076047
Madrigueras,4670,5,10.706638115631693,39.23668079999999,-1.8001488,6000,Club Atletismo 27 de Agosto; GB Performance Madrigueras; MKB - Monkey Madrigueras; Pabellón Polideportivo Municipal de Madrigueras.,4.0,8.565310492505352,27808,5561.6,27.433770569030298,5561.6,29.0,926.9333333333332,0.007768666378938282,-0.01143099068585944,Mercado competitivo,123032.0,26.345182012847967
Mahora,1465,51,348.12286689419795,39.2131243,-1.7259018,6000,,0.0,0.0,30465,30465.0,26.93985866689399,30465.0,28.0,1050.5172413793102,0.07562408223201175,0.030239099859353025,Mercado emergente,35962.0,24.54744027303754
Masegoso,117,34,2905.9829059829062,38.7182149,-2.3163081,4000,,0.0,0.0,9267,9267.0,50.030920761591695,9267.0,5.0,1544.5,0.125,-0.03305785123966942,Mercado emergente,2214.0,18.923076923076923
Minaya,1381,48,347.57422157856627,39.2710162,-2.3209341,6000,Polideportivo Municipal Agustín Jiménez “Agus”,1.0,7.24112961622013,43865,21932.5,50.25414516372536,21932.5,39.0,1096.625,-0.06372881355932203,-0.1170076726342711,Oportunidad latente,41146.0,29.79435191889935
Molinicos,754,26,344.82758620689657,38.4663699,-2.2405913,4000,Polideportivo Municipal de Molinicos,1.0,13.26259946949602,11767,5883.5,67.35153083049133,5883.5,14.0,784.4666666666667,-0.07257072570725707,-0.1777535441657579,Mercado débil,21614.0,28.6657824933687
Montalvos,74,43,5810.81081081081,39.1657264,-2.0276251,4000,,0.0,0.0,208803,208803.0,23.913369201686685,199727.3291767914,115.0,1800.0258620689656,-0.1590909090909091,-0.3148148148148148,Oportunidad latente,2666.0,36.027027027027025
