municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2
Carcelén,483,23,476.19047619047615,39.1021624,-1.3089706,4000,"Casa Rural ""El Parador""",1.0,20.70393374741201,14828,7414.0,49.08449932424873,7414.0,10.0,1348.0
Casas de Juan Núñez,1409,22,156.13910574875797,39.100201,-1.5578697,6000,Pabellón Polideportivo de Casas de Juan Núñez,1.0,7.097232079488999,24730,12365.0,28.63440821198604,12365.0,22.0,1075.2173913043478
Casas de Lázaro,298,15,503.35570469798654,38.7710402,-2.2402728,4000,,0.0,0.0,10918,10918.0,41.222370861931104,10918.0,8.0,1213.111111111111
Casas de Ves,519,32,616.5703275529866,39.2578708,-1.3330645,4000,Complejo Deportivo Valeriano Cantero,1.0,19.26782273603083,11528,5764.0,54.08955607619601,5764.0,10.0,1048.0
Casas-Ibáñez,4616,17,36.82842287694975,39.286714,-1.4712661,6000,Body Avalon; Pabellón Polideportivo Municipal de Casas-Ibáñez.,2.0,4.332755632582322,22616,7538.666666666667,46.70611612137303,7538.666666666667,19.0,1130.8
Caudete,10439,15,14.369192451384231,38.7046615,-0.9870381,10000,Ciudad Deportiva Atleta Antonio Amorós; In-Gym Fitness; Logan Training Center; NURIA FISIOYOGA; Pabellón de Caudete -Baloncesto; Polideportivo Público Municipal de Caudete; Tierra de Yoga; UP Training Center,8.0,7.6635693074049245,35054,3894.8888888888887,82.18898255245931,3894.8888888888887,28.0,1208.7586206896551
Cenizate,1163,27,232.1582115219261,39.3023107,-1.6627091,6000,Gimnasio de Cenizate; Polideportivo Municipal,2.0,17.196904557179707,31679,10559.666666666666,38.2388506147862,10559.666666666666,30.0,1021.9032258064516
Chinchilla de Monte-Aragón,4614,23,49.84828781967924,38.9195312,-1.7252937,6000,Caballeros de los Llanos; MKB - Monkey Chinchilla; Pabellón Polideportivo Municipal de Chinchilla de Monte-Aragón.; Pabellón San Miguel; Skate Park Chinchilla,5.0,10.836584308625921,188775,31462.5,14.328993258403454,18033.03801570075,92.0,2029.8387096774193
Corral-Rubio,303,27,891.089108910891,38.8343358,-1.4597825,4000,,0.0,0.0,19592,19592.0,38.94611687109649,19592.0,20.0,932.952380952381
Cotillas,123,41,3333.333333333333,38.4310256,-2.5058695,4000,,0.0,0.0,7191,7191.0,84.0407137456204,7191.0,8.0,799.0
Elche de la Sierra,3603,21,58.28476269775187,38.4500743,-2.0481401,6000,Gimnasio Municipal Elche de la Sierra; Invictus Sport Center,2.0,5.550929780738274,10506,3502.0,62.684185572910344,3502.0,12.0,808.1538461538462
Fuensanta,282,43,1524.822695035461,39.2451555,-2.0690225,4000,Campó de tiro virgen de los remedios,1.0,35.46099290780142,31965,15982.5,33.19745362665081,15982.5,35.0,887.9166666666666
Fuente-Álamo,2422,29,119.73575557390588,38.6927241,-1.4325968,6000,Gimnasio; Pabellón Polideportivo Municipal,2.0,8.257638315441783,8925,2975.0,49.96481882601061,2975.0,10.0,811.3636363636364
Fuentealbilla,1804,9,49.88913525498891,39.2675127,-1.5511323,6000,Peña Barcelonista 'Andrés Iniesta'; Polideportivo Municipal; Rayo Fuentealbilla.,3.0,16.62971175166297,26800,6700.0,40.40814654955558,6700.0,22.0,1165.2173913043478
Férez,604,47,778.1456953642383,38.3555477,-2.0084208,4000,Gimnasio Transforma-T,1.0,16.556291390728475,9144,4572.0,72.19324641441497,4572.0,10.0,831.2727272727273
"Gineta, La",2656,22,82.83132530120483,39.1132781,-1.9961056,6000,Canódromo de la Gineta; Club pelota a mano La Gineta,2.0,7.530120481927711,208803,69601.0,17.677931619518215,49216.0687460035,115.0,1800.0258620689656
Golosalvo,79,48,6075.949367088608,39.2394219,-1.635698,4000,,0.0,0.0,32267,32267.0,33.42670860780082,32267.0,30.0,1040.8709677419354
Hellín,30836,25,8.107406926968478,38.5081949,-1.6983239,18000,"Club Tenis Hellin; Complejo Deportivo ""LOS DONCELES"" Agramón; Complejo Polideportivo Municipal JOSÉ JOAQUÍN MORENO VERDÚ “JOSICO” de Isso.; Complejo Polideportivo Municipal “Santa Ana” de Hellín; Cuida'T Body & motion; Esperanza Rubio Fitness; GAIA Deporte y Aventura; La Caléndula Pilates Y Yoga",15.0,4.864444156181087,42433,2652.0625,55.85542427700134,2652.0625,24.0,1697.32
"Herrera, La",308,22,714.2857142857142,38.9622956,-2.1263536,4000,Complejo Deportivo La Herrera,1.0,32.46753246753247,201464,100732.0,23.28419789468438,93818.55289309387,102.0,1955.9611650485438
Higueruela,1133,21,185.3486319505737,38.9618433,-1.4422609,6000,Gimnasio Municipal de Higueruela; Pabellón Polideportivo Municipal de Higueruela.,2.0,17.6522506619594,16126,5375.333333333333,36.30579385315663,5375.333333333333,18.0,848.7368421052631
Hoya-Gonzalo,582,28,481.0996563573884,38.9584238,-1.5565831,4000,Gimnasio Municipal; Polideportivo Público Municipal de Hoya-Gonzalo,2.0,34.36426116838488,15988,5329.333333333333,26.546473551237376,5329.333333333333,15.0,999.25
Jorquera,356,34,955.0561797752808,39.17503019999999,-1.5214676,4000,,0.0,0.0,29553,29553.0,35.46896734928929,29553.0,27.0,1055.4642857142858
Letur,911,6,65.86169045005488,38.3656079,-2.1020248,4000,Almaventura; Fisio Pilates Letur; Reserva,2.0,21.953896816684964,11615,3871.6666666666665,73.00200720839116,3871.6666666666665,13.0,829.6428571428571
Lezuza,1281,42,327.8688524590164,38.9496492,-2.3554527,6000,,0.0,0.0,12870,12870.0,43.10446709815827,12870.0,11.0,1072.5
Liétor,1052,43,408.745247148289,38.54165450000001,-1.9532994,6000,Club Pescadores deportivos de Liétor; Pabellón Polideportivo Municipal de Liétor,2.0,19.011406844106464,51626,17208.666666666668,50.98611814887501,17208.666666666668,34.0,1475.0285714285715
Madrigueras,4670,5,10.706638115631693,39.23668079999999,-1.8001488,6000,Club Atletismo 27 de Agosto; GB Performance Madrigueras; MKB - Monkey Madrigueras; Pabellón Polideportivo Municipal de Madrigueras.,4.0,8.565310492505352,27808,5561.6,27.433770569030298,5561.6,29.0,926.9333333333333
Mahora,1465,51,348.12286689419795,39.2131243,-1.7259018,6000,,0.0,0.0,30465,30465.0,26.93985866689399,30465.0,28.0,1050.5172413793102
Masegoso,117,34,2905.9829059829062,38.7182149,-2.3163081,4000,,0.0,0.0,9267,9267.0,50.030920761591695,9267.0,5.0,1544.5
Minaya,1381,48,347.57422157856627,39.2710162,-2.3209341,6000,Polideportivo Municipal Agustín Jiménez “Agus”,1.0,7.24112961622013,43865,21932.5,50.254145163725354,21932.5,39.0,1096.625
Molinicos,754,26,344.82758620689657,38.4663699,-2.2405913,4000,Polideportivo Municipal de Molinicos,1.0,13.26259946949602,11767,5883.5,67.35153083049133,5883.5,14.0,784.4666666666667
Montalvos,74,43,5810.81081081081,39.1657264,-2.0276251,4000,,0.0,0.0,208803,208803.0,23.913369201686685,199727.3291767914,115.0,1800.0258620689656
Montealegre del Castillo,2051,31,151.14578254509993,38.7888493,-1.3270397,6000,Ecuavolley; Gimnasio Municipal de Montealegre; Polideportivo; Sx morillo's park,4.0,19.502681618722573,36307,7261.4,51.49154415029342,7261.4,32.0,1100.2121212121212
Motilleja,673,36,534.9182763744427,39.1803118,-1.7910132,4000,,0.0,0.0,199093,199093.0,21.517138964358665,171356.46991324238,102.0,1932.9417475728155
Munera,3351,21,62.66786034019696,39.0424927,-2.4783117,6000,Atomic Sports; Gimnasio Municipal de Munera; Polideportivo,3.0,8.952551477170994,11759,2939.75,53.669334173518806,2939.75,12.0,904.5384615384615
Navas de Jorquera,521,18,345.489443378119,39.2800859,-1.7192136,4000,,0.0,0.0,29662,29662.0,34.013850710889145,29662.0,28.0,1022.8275862068965
Nerpio,1136,10,88.02816901408451,38.1477676,-2.2987502,6000,Explora Segura; Polideportivo Municipal de Nerpio,2.0,17.6056338028169,3607,1202.3333333333333,101.56876911750807,1202.3333333333333,5.0,601.1666666666666
Ontur,1895,12,63.3245382585752,38.6159034,-1.4978716,6000,Activ Dance & Fitness,1.0,5.277044854881266,46817,23408.5,52.5059554901324,23408.5,29.0,1560.5666666666666
Ossa de Montiel,2233,10,44.782803403493055,38.9645905,-2.7468737,6000,Crossbodyossa; JV Pro Sport Center; Pabellón polideportivo Municipal Oscar Sevilla; SERVICIOS CINEGÉTICOS H. MORA.,4.0,17.913121361397224,8229,1645.8,76.71749323377801,1645.8,10.0,748.0909090909091
Paterna del Madera,328,34,1036.5853658536585,38.5973796,-2.3458767,4000,,0.0,0.0,7894,7894.0,60.997415936004955,7894.0,8.0,877.1111111111111
Peñas de San Pedro,1488,11,73.9247311827957,38.7256513,-2.0010004,6000,Gimnasio Municipal; PABELLÓN POLIDEPORTIVO MUNICIPAL de Peñas de San Pedro.,2.0,13.440860215053764,12991,4330.333333333333,32.27529578122518,4330.333333333333,12.0,999.3076923076923
Peñascosa,329,40,1215.80547112462,38.6716596,-2.4104201,4000,,0.0,0.0,8887,8887.0,59.661196207902506,8887.0,7.0,1110.875
Povedilla,374,49,1310.1604278074865,38.7007435,-2.6034236,4000,,0.0,0.0,5035,5035.0,72.17433217262257,5035.0,2.0,1678.3333333333333
Pozo Cañada,2704,41,151.62721893491124,38.8029833,-1.7322065,6000,CLINICA DE FISIOTERAPIA Y PILATES,1.0,3.698224852071006,195301,97650.5,23.992870843927122,93716.63337379621,95.0,2034.3854166666667
Pozo-Lorente,398,53,1331.6582914572864,39.076351,-1.5069455,4000,,0.0,0.0,17759,17759.0,31.840628329683373,17759.0,15.0,1109.9375
Pozohondo,1544,42,272.020725388601,38.7199503,-1.9111451,6000,Pabellón Polideportivo Municipal de Pozohondo,1.0,6.476683937823834,17616,8808.0,30.834735778962738,8808.0,14.0,1174.4
Pozuelo,455,43,945.054945054945,38.8089093,-2.1014619,4000,,0.0,0.0,8356,8356.0,29.349201406658377,8356.0,8.0,928.4444444444445
Pétrola,660,55,833.3333333333333,38.8272179,-1.5559775,4000,Instalaciones deportivas municipales,1.0,15.151515151515152,17314,8657.0,32.22293250311725,8657.0,19.0,865.7
"Recueja, La",215,57,2651.162790697674,39.1607676,-1.4676394,4000,,0.0,0.0,19606,19606.0,38.6045613029486,19606.0,19.0,980.3
Riópar,1344,13,96.72619047619048,38.4982409,-2.4171658,6000,CHCB (Club Hípico El Caballo de Bronce); Centro Excursionista de Albacete; Mundo aventura Riópar; Polideportivo,3.0,22.32142857142857,9530,2382.5,73.32816779344564,2382.5,10.0,866.3636363636364
Robledo,382,45,1178.0104712041884,38.774234,-2.4406387,4000,,0.0,0.0,9655,9655.0,55.889492818130186,9655.0,5.0,1609.1666666666667
"Roda, La",15643,56,35.79875982867737,39.1755765,-2.1843285,10000,"CLUB PÁDEL LA RODA.; CRATOSFIT; Centro Deportivo; Centro deportivo David Castro Fajardo; Club Polideportivo la Roda; Club Polideportivo y Social la Molineta; Clínica Salud y fitness La Roda; Cratos Center La Roda, Fisioterapia & Pilates",16.0,10.228217093907817,23341,1373.0,34.47662366101758,1373.0,24.0,933.64
Salobre,442,49,1108.5972850678731,38.5928606,-2.5498208,4000,,0.0,0.0,6744,6744.0,74.6044165394621,6744.0,5.0,1124.0
San Pedro,1155,49,424.24242424242425,38.779652,-2.1646722,6000,Pabellón polideportivo,1.0,8.658008658008658,9794,4897.0,35.563802578190476,4897.0,9.0,979.4
Socovos,1643,5,30.432136335970785,38.3327757,-1.9844827,6000,Gimnasio Transforma-T; Pabellón de Socovos.,1.0,6.086427267194157,7813,3906.5,74.35654416052691,3906.5,8.0,868.1111111111111
Tarazona de la Mancha,6100,28,45.90163934426229,39.2651188,-1.912995,10000,C.d.escuadron del CARPFISHING; ESPECTÁCULOS PRIETO; GIMNASIO COLEGIO; NOVA Sports Gym; Pabellón Polideportivo de Tarazona de La Mancha.; Padel Tarazona; Polideportivo Descubierto; Snooker La Mancha 147,10.0,16.39344262295082,20812,1892.0,30.445595634035623,1892.0,22.0,904.8695652173913
Tobarra,8006,9,11.241568823382464,38.5909581,-1.6930787,10000,"Centro ""sport fitness""; Club Pádel Tobarra; Gimnasio Valero Sport; Pabellón Polideportivo de Tobarra.; Tobafitness",5.0,6.245316012990258,46681,7780.166666666667,47.13999783067911,7780.166666666667,26.0,1728.9259259259259
Valdeganga,1970,20,101.5228426395939,39.1358432,-1.6772838,6000,Pabellón Polideportivo Municipal de Valdeganga; Polideportivo Municipal,2.0,10.152284263959391,208108,69369.33333333333,22.286420619965515,61839.76563173044,110.0,1874.8468468468468
Vianos,317,50,1577.2870662460566,38.5947041,-2.5098914,4000,,0.0,0.0,6744,6744.0,71.73417905157936,6744.0,5.0,1124.0
Villa de Ves,51,42,8235.294117647058,39.2226519,-1.2593206,4000,,0.0,0.0,9724,9724.0,57.72197366353948,9724.0,7.0,1215.5
Villalgordo del Júcar,1159,20,172.5625539257981,39.2964074,-2.0622166,6000,Polideportivo Municipal; Vértice10 Multiaventura,1.0,8.628127696289905,31965,15982.5,37.83281916401316,15982.5,35.0,887.9166666666666
Villamalea,4083,13,31.83933382316924,39.3628674,-1.5971834,6000,Area Sport; OMNIFIT - CENTRO DEPORTIVO; Pabellón Deportivo; Polideportivo de Villamalea,4.0,9.796718099436688,21426,4285.2,46.82477355751726,4285.2,18.0,1127.6842105263158
Villapalacios,539,37,686.4564007421151,38.5756136,-2.6331952,4000,,0.0,0.0,5917,5917.0,81.59518851125709,5917.0,5.0,986.1666666666666
Villarrobledo,25400,32,12.598425196850393,39.2683154,-2.6015635,18000,Centro Deportivo Tiger; Club Polideportivo Villarrobledo.; Complejo Polideportivo Municipal “Barrio Asturias” de Villarrobledo; Complejo Polideportivo Municipal “Barrio Socuéllamos” de Villarrobledo; FRAILE GYM Reyes Católicos.; FRAILE Gym Octavio Cuartero.; GIMNASIO Sipchin.; Human Club SC,20.0,7.874015748031496,26781,1275.2857142857142,70.83072645915792,1275.2857142857142,21.0,1217.3181818181818
Villatoya,114,37,3245.6140350877195,39.3330544,-1.3390901,4000,La libélula.Centro de yoga y permacultura.,1.0,87.71929824561403,14434,7217.0,58.61958082494156,7217.0,13.0,1031.0
Villavaliente,190,54,2842.1052631578946,39.1138831,-1.4724751,4000,,0.0,0.0,18329,18329.0,36.0171721021805,18329.0,16.0,1078.1764705882354
Villaverde de Guadalimar,325,23,707.6923076923076,38.4563278,-2.5183567,4000,,0.0,0.0,8474,8474.0,82.70236078868436,8474.0,9.0,847.4
Viveros,293,65,2218.430034129693,38.7726567,-2.57553,4000,,0.0,0.0,7132,7132.0,66.64737035325638,7132.0,4.0,1426.4
Yeste,2471,8,32.375556454876566,38.3654376,-2.321546,6000,Anahata Yoga; Aventura Sierra del Segura; Centro de actividades Via Ferrata Yeste; Instalaciones Deportivas El Llano,3.0,12.140833670578711,7064,1766.0,80.59218853430379,1766.0,11.0,588.6666666666666
