municipio,query,place_id,name,types,lat,lon,distance_m,formattedAddress
Minaya,fitness en Minaya,ChIJVURAt68tZg0RNZHa1H7JNkA,Polideportivo Municipal Agustín Jiménez “Agus”,establishment;point_of_interest;sports_activity_location;sports_complex,39.2689878,-2.3260972,498.4140995050942,
Minaya,centro deportivo en Minaya,ChIJVURAt68tZg0RNZHa1H7JNkA,Polideportivo Municipal Agustín Jiménez “Agus”,establishment;point_of_interest;sports_activity_location;sports_complex,39.2689878,-2.3260972,498.4140995050942,
Molinicos,centro deportivo en Molinicos,ChIJAQCQWfTlZQ0RBDsvgQYoeHM,Polideportivo Municipal de Molinicos,establishment;point_of_interest;sports_activity_location;sports_complex,38.467054999999995,-2.2406189,76.21753219235235,
Montealegre del Castillo,gimnasio en Montealegre del Castillo,ChIJV1VpVwCvZg0RjhgrUbQIVWw,Gimnasio Municipal de Montealegre,establishment;gym;health;point_of_interest;sports_activity_location,38.7899607,-1.3255849000000002,176.5532878564466,
Montealegre del Castillo,fitness en Montealegre del Castillo,ChIJV1VpVwCvZg0RjhgrUbQIVWw,Gimnasio Municipal de Montealegre,establishment;gym;health;point_of_interest;sports_activity_location,38.7899607,-1.3255849000000002,176.5532878564466,
Montealegre del Castillo,centro deportivo en Montealegre del Castillo,ChIJS5W6AUuuZg0RBBPl3z3WPkQ,Polideportivo,establishment;point_of_interest;sports_activity_location;sports_complex,38.7894471,-1.3253742,158.9212104738642,
Montealegre del Castillo,centro deportivo en Montealegre del Castillo,ChIJV1VpVwCvZg0RjhgrUbQIVWw,Gimnasio Municipal de Montealegre,establishment;gym;health;point_of_interest;sports_activity_location,38.7899607,-1.3255849000000002,176.5532878564466,
Montealegre del Castillo,centro deportivo en Montealegre del Castillo,ChIJp9LUBgCvZg0RcnOObYb4Yog,Ecuavolley,association_or_organization;establishment;point_of_interest;sports_club,38.7904402,-1.3247001,269.0938926350446,
Montealegre del Castillo,centro deportivo en Montealegre del Castillo,ChIJB30cCwCvZg0RmUDFLIRCZ5s,Sx morillo's park,association_or_organization;establishment;point_of_interest;sports_club,38.7801839,-1.3179745,1243.3115137484224,
Montealegre del Castillo,crossfit en Montealegre del Castillo,ChIJV1VpVwCvZg0RjhgrUbQIVWw,Gimnasio Municipal de Montealegre,establishment;gym;health;point_of_interest;sports_activity_location,38.7899607,-1.3255849000000002,176.5532878564466,
Munera,gimnasio en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Munera,fitness en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Munera,centro deportivo en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Munera,centro deportivo en Munera,ChIJ2_B733aeaA0RQHqO--XjkJ0,Polideportivo,establishment;point_of_interest;sports_activity_location;sports_complex,39.0428862,-2.4859732,663.1116550361197,
Munera,centro deportivo en Munera,ChIJZ_H9Y5efaA0RpkexETvtT18,Atomic Sports,association_or_organization;establishment;point_of_interest;sports_club,39.041745899999995,-2.4775288,107.08559563674868,
Munera,pilates en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Munera,crossfit en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Munera,entrenamiento personal en Munera,ChIJJUffwY6daA0RbaKtqZktsfY,Gimnasio Municipal de Munera,establishment;gym;health;point_of_interest;sports_activity_location,39.046645399999996,-2.4785844999999997,462.3597761536196,
Nerpio,gimnasio en Nerpio,ChIJfflK3TqRZQ0RkrUmJqKRZjQ,Explora Segura,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.148031599999996,-2.3020310999999998,288.3988020288521,
Nerpio,fitness en Nerpio,ChIJfflK3TqRZQ0RkrUmJqKRZjQ,Explora Segura,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.148031599999996,-2.3020310999999998,288.3988020288521,
